site_key,circuit_id,avg_three_highest_peaks
28T4-7722,638822,18.94617970784505
RYW8-C322,165926,17.694400151570637
TRED-E222,54688,15.7170938650767
6M6M-7222,45738,15.120611190795898
EMRB-G222,57480,14.371065298716227
ZQK6-W522,482879,13.838042140007019
RYW8-C322,166092,11.629195054372152
28T4-7722,638823,11.235414822896322
6M6M-7222,740671,6.38884703318278
