,site_key,name,circuit_id,avg_value_kWh,site_id,voltage,amps
0,c6d82c05-e555-4601-a9bc-2dd9b6f4d887,Direktørens Høyde,4ce05beb-d3cd-429b-acbc-b305dd20c8d6-GaroCS-46552E2A66280,12.0,c6d82c05-e555-4601-a9bc-2dd9b6f4d887,400,17.0
1,c6d82c05-e555-4601-a9bc-2dd9b6f4d887,Direktørens Høyde,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,8.0,c6d82c05-e555-4601-a9bc-2dd9b6f4d887,400,12.0
2,c6d82c05-e555-4601-a9bc-2dd9b6f4d887,Direktørens Høyde,f2704a97-4b42-4d82-a3e6-7712795e69e1-GaroCS-42B1FAA056E80,12.0,c6d82c05-e555-4601-a9bc-2dd9b6f4d887,400,17.0
3,d4fe9eb7-c4d3-40d2-b29b-91fea9529562,Klokkargården,c6f69b09-d945-49e7-8a3d-24abff758e88-GaroCS-42659AA056E80,7.0,d4fe9eb7-c4d3-40d2-b29b-91fea9529562,400,10.0
4,d4fe9eb7-c4d3-40d2-b29b-91fea9529562,Klokkargården,f4a1c951-1fc2-4817-b5f9-a61694d498f7-GaroCS-46324E2A66280,12.0,d4fe9eb7-c4d3-40d2-b29b-91fea9529562,400,17.0
