charger_id,timestamp,value_kW
GaroCS-42F88B2076B80,2025-01-08T16:02:26.086Z,7.1468
GaroCS-42F88B2076B80,2025-01-08T16:03:25.649Z,7.1497
GaroCS-42F88B2076B80,2025-01-08T16:04:25.818Z,7.146
GaroCS-42F88B2076B80,2025-01-08T16:05:25.839Z,7.1558
GaroCS-42F88B2076B80,2025-01-08T16:06:25.709Z,7.1555
GaroCS-42F88B2076B80,2025-01-08T16:07:25.165Z,7.158
GaroCS-42F88B2076B80,2025-01-08T16:08:26.077Z,7.1568000000000005
GaroCS-42F88B2076B80,2025-01-08T16:09:25.568Z,7.1609
GaroCS-42F88B2076B80,2025-01-08T16:10:25.581Z,7.164
GaroCS-42F88B2076B80,2025-01-08T16:11:25.560Z,7.1676
GaroCS-42F88B2076B80,2025-01-08T16:12:25.896Z,7.1683
GaroCS-42F88B2076B80,2025-01-08T16:13:26.112Z,7.1688
GaroCS-42F88B2076B80,2025-01-08T16:14:25.019Z,7.1878
GaroCS-42F88B2076B80,2025-01-08T16:15:25.088Z,7.191
GaroCS-42F88B2076B80,2025-01-08T16:16:25.323Z,7.1918999999999995
GaroCS-42F88B2076B80,2025-01-08T16:17:25.465Z,7.1872
GaroCS-42F88B2076B80,2025-01-08T16:18:25.550Z,7.2017
GaroCS-42F88B2076B80,2025-01-08T16:19:26.556Z,7.203399999999999
GaroCS-42F88B2076B80,2025-01-08T16:20:25.887Z,7.2021999999999995
GaroCS-42F88B2076B80,2025-01-08T16:21:25.199Z,7.2021999999999995
GaroCS-42F88B2076B80,2025-01-08T16:22:25.401Z,7.1868
GaroCS-42F88B2076B80,2025-01-08T16:23:26.317Z,7.1948
GaroCS-42F88B2076B80,2025-01-08T16:24:25.399Z,7.1928
GaroCS-42F88B2076B80,2025-01-08T16:25:25.637Z,7.1993
GaroCS-42F88B2076B80,2025-01-08T16:26:25.649Z,7.1952
GaroCS-42F88B2076B80,2025-01-08T16:27:26.200Z,7.2062
GaroCS-42F88B2076B80,2025-01-08T16:28:24.832Z,7.2024
GaroCS-42F88B2076B80,2025-01-08T16:29:24.988Z,6.8422
GaroCS-42F88B2076B80,2025-01-08T16:30:25.162Z,6.4385
GaroCS-42F88B2076B80,2025-01-08T16:31:25.417Z,6.0409
GaroCS-42F88B2076B80,2025-01-08T16:32:25.598Z,5.5103
GaroCS-42F88B2076B80,2025-01-08T16:33:25.727Z,5.2628
GaroCS-42F88B2076B80,2025-01-08T16:34:26.040Z,5.0455
GaroCS-42F88B2076B80,2025-01-08T16:35:26.083Z,4.6643
GaroCS-42F88B2076B80,2025-01-08T16:36:25.313Z,4.6683
GaroCS-42F88B2076B80,2025-01-08T16:37:25.472Z,4.2822
GaroCS-42F88B2076B80,2025-01-08T16:38:25.650Z,3.984
GaroCS-42F88B2076B80,2025-01-08T16:39:25.561Z,3.854
GaroCS-42F88B2076B80,2025-01-08T16:40:25.952Z,3.8566
GaroCS-42F88B2076B80,2025-01-08T16:41:26.048Z,3.5995999999999997
GaroCS-42F88B2076B80,2025-01-08T16:42:25.154Z,3.56
GaroCS-42F88B2076B80,2025-01-08T16:43:25.162Z,3.1805
GaroCS-42F88B2076B80,2025-01-08T16:44:25.577Z,3.0124
GaroCS-42F88B2076B80,2025-01-08T16:45:25.564Z,3.0173
GaroCS-42F88B2076B80,2025-01-08T16:46:25.792Z,2.7259
GaroCS-42F88B2076B80,2025-01-08T16:47:26.752Z,2.7256
GaroCS-42F88B2076B80,2025-01-08T16:48:26.048Z,2.5583
GaroCS-42F88B2076B80,2025-01-08T16:49:26.144Z,2.3516
GaroCS-42F88B2076B80,2025-01-08T16:50:26.478Z,2.3529
GaroCS-42F88B2076B80,2025-01-08T16:51:26.600Z,2.3552
GaroCS-42F88B2076B80,2025-01-08T16:52:26.352Z,2.1908000000000003
GaroCS-42F88B2076B80,2025-01-08T16:53:26.509Z,2.1891
GaroCS-42F88B2076B80,2025-01-08T16:54:26.589Z,2.0239000000000003
GaroCS-42F88B2076B80,2025-01-08T16:55:26.800Z,2.0244
GaroCS-42F88B2076B80,2025-01-08T16:56:26.878Z,1.8642999999999998
GaroCS-42F88B2076B80,2025-01-08T16:57:26.435Z,1.8645
GaroCS-42F88B2076B80,2025-01-08T16:58:26.680Z,1.7017
GaroCS-42F88B2076B80,2025-01-08T16:59:27.519Z,1.7007
GaroCS-42F88B2076B80,2025-01-08T17:00:27.005Z,1.701
GaroCS-42F88B2076B80,2025-01-08T17:01:27.431Z,1.5452000000000001
GaroCS-42F88B2076B80,2025-01-08T17:02:26.921Z,1.5075999999999998
GaroCS-42F88B2076B80,2025-01-08T17:03:26.962Z,1.458
GaroCS-42F88B2076B80,2025-01-08T17:04:26.449Z,1.4161
GaroCS-42F88B2076B80,2025-01-08T17:05:26.672Z,1.3794000000000002
GaroCS-42F88B2076B80,2025-01-08T17:06:26.537Z,1.3785999999999998
GaroCS-42F88B2076B80,2025-01-08T17:07:26.958Z,1.3043
GaroCS-42F88B2076B80,2025-01-08T17:08:27.676Z,1.1954
GaroCS-42F88B2076B80,2025-01-08T17:09:27.162Z,1.1175
GaroCS-42F88B2076B80,2025-01-08T17:10:26.208Z,1.1151
GaroCS-42F88B2076B80,2025-01-08T17:11:26.479Z,1.1167
GaroCS-42F88B2076B80,2025-01-08T17:12:26.546Z,1.1171
GaroCS-42F88B2076B80,2025-01-08T17:13:26.696Z,1.1169
GaroCS-42F88B2076B80,2025-01-08T17:14:26.878Z,1.1176
GaroCS-42F88B2076B80,2025-01-08T17:15:27.029Z,0.9842000000000001
GaroCS-42F88B2076B80,2025-01-08T17:16:27.998Z,0.9848
GaroCS-42F88B2076B80,2025-01-08T17:17:25.951Z,0.9817
GaroCS-42F88B2076B80,2025-01-08T17:18:26.118Z,0.9827
GaroCS-42F88B2076B80,2025-01-08T17:19:26.192Z,0.9831
GaroCS-42F88B2076B80,2025-01-08T17:20:26.719Z,0.9852000000000001
GaroCS-42F88B2076B80,2025-01-08T17:21:26.842Z,0.9858
GaroCS-42F88B2076B80,2025-01-08T17:22:26.769Z,0.9073
GaroCS-42F88B2076B80,2025-01-08T17:23:27.088Z,0.903
GaroCS-42F88B2076B80,2025-01-08T17:24:27.278Z,0.9064
GaroCS-42F88B2076B80,2025-01-08T17:25:27.202Z,0.9078999999999999
GaroCS-42F88B2076B80,2025-01-08T17:26:27.282Z,0.9118999999999999
GaroCS-42F88B2076B80,2025-01-08T17:27:26.699Z,0.8379
GaroCS-42F88B2076B80,2025-01-08T17:28:26.877Z,0.8413999999999999
