charger_id,timestamp,value_kW
ZCS009736,2025-01-16T07:19:24.746926Z,0.9337555999999999
ZCS009736,2025-01-16T07:19:41.806523Z,3.0528945
ZCS009736,2025-01-16T07:25:36.886513Z,1.7057816000000001
ZCS009736,2025-01-16T07:25:53.926504Z,3.0439863
ZCS009736,2025-01-16T07:51:44.676674Z,2.7752788
ZCS009736,2025-01-16T07:54:23.006607Z,2.5224746
ZCS009736,2025-01-16T07:59:23.496331Z,2.2277168
ZCS009736,2025-01-16T08:03:52.216438Z,1.9752576
ZCS009736,2025-01-16T08:10:11.776664Z,1.7283817
ZCS009736,2025-01-16T08:17:33.857358Z,1.4299067
ZCS009736,2025-01-16T08:27:48.656205Z,1.2049566999999999
ZCS009736,2025-01-16T08:39:53.466428Z,0.9612175
ZCS009736,2025-01-16T08:56:08.926391Z,0.7424468000000001
ZCS009736,2025-01-16T09:15:48.176333Z,0.5045106
ZCS009736,2025-01-16T21:19:06.586486Z,0.9160172999999999
ZCS009736,2025-01-16T21:19:23.626184Z,3.051781
ZCS009736,2025-01-16T21:26:19.436244Z,2.2572959
ZCS009736,2025-01-16T21:26:36.486453Z,3.0032246
ZCS009736,2025-01-16T22:14:34.957736Z,0.3942391
ZCS009736,2025-01-16T22:21:38.816216Z,3.036866
ZCS009736,2025-01-16T23:15:10.839349Z,2.5971758
ZCS009736,2025-01-16T23:18:52.336395Z,2.1713967
ZCS009736,2025-01-16T23:25:27.048528Z,1.981531
ZCS009736,2025-01-16T23:31:14.066265Z,1.6981907
ZCS009736,2025-01-16T23:37:16.846624Z,1.4526322999999999
ZCS009736,2025-01-16T23:45:41.466116Z,1.208407
ZCS009736,2025-01-16T23:55:55.696389Z,0.9605431999999999
ZCS009736,2025-01-17T00:07:05.799505Z,0.298
ZCS009736,2025-01-17T00:08:05.556624Z,0.6744
ZCS009736,2025-01-17T03:20:34.296483Z,0.8899355000000001
ZCS009736,2025-01-17T03:21:54.216774Z,1.176334
ZCS009736,2025-01-17T03:23:12.967674Z,1.4583882000000001
