"_","Id","Energy_Area__c","Meter_Number__c","MeterID__c"
"[Charging_Facility__c]","a239Y0000000YgtQAE","NO1","7359992922340581","707057500057565331"
"[Charging_Facility__c]","a239Y0000000YguQAE","NO1","",""
"[Charging_Facility__c]","a239Y0000000YgvQAE","NO1","7359992908952838","707057500057438307"
"[Charging_Facility__c]","a239Y0000000YgwQAE","NO3","6970631408718147","707057500069143343"
"[Charging_Facility__c]","a239Y0000000YgxQAE","NO3","6970631408722007","707057500069212193"
"[Charging_Facility__c]","a239Y0000000YgzQAE","NO1","7359992903532035","707057500023355232"
"[Charging_Facility__c]","a239Y0000000Yh0QAE","NO1","7359992901814768","707057500021042981"
"[Charging_Facility__c]","a239Y0000000Yh1QAE","NO1","7359992927587325","707057500057860276"
"[Charging_Facility__c]","a239Y0000000Yh2QAE","NO2","5706567316262406","707057500076605971"
"[Charging_Facility__c]","a239Y0000000Yh3QAE","NO1","7359992908005046","707057500057550160"
"[Charging_Facility__c]","a239Y0000000Yh4QAE","NO1","7359992920790227","707057500057544626"
"[Charging_Facility__c]","a239Y0000000Yh5QAE","NO1","7359992920796571","707057500057546279"
"[Charging_Facility__c]","a239Y0000000Yh6QAE","","",""
"[Charging_Facility__c]","a239Y0000000Yh7QAE","NO1","7359992904982990","707057500057423341"
"[Charging_Facility__c]","a239Y0000000Yh8QAE","NO3","6970631408886051","707057500065566412"
"[Charging_Facility__c]","a239Y0000000Yh9QAE","NO3","6970631400129552","707057500069231941"
"[Charging_Facility__c]","a239Y0000000YhAQAU","NO1","7359992908713125","707057500057450743"
"[Charging_Facility__c]","a239Y0000000YhBQAU","NO3","6970631407422335","707057500069246600"
"[Charging_Facility__c]","a239Y0000000YhCQAU","NO1","7359992907914479","707057500057488210"
"[Charging_Facility__c]","a239Y0000000YhDQAU","NO1","7359992922210785","707057500020593361"
"[Charging_Facility__c]","a239Y0000000YhEQAU","NO5","6970631403629875","707057500029895756"
"[Charging_Facility__c]","a239Y0000000YhFQAU","NO1","5706567272285013","707057500080542125"
"[Charging_Facility__c]","a239Y0000000YhGQAU","NO1","7359992909022042","707057500057421101"
"[Charging_Facility__c]","a239Y0000000YhHQAU","NO1","7359992922208980","707057500020772858"
"[Charging_Facility__c]","a239Y0000000YhIQAU","NO1","33380130","707057500083416058"
"[Charging_Facility__c]","a239Y0000000YhKQAU","NO3","7350049089832066","707057500084894763"
"[Charging_Facility__c]","a239Y0000000YhLQAU","NO2","7359992909764393","707057500072088389"
"[Charging_Facility__c]","a239Y0000000YhMQAU","NO2","6970631406984025","707057500048584853"
"[Charging_Facility__c]","a239Y0000000YhNQAU","NO5","6970631401994494","707057500029937869"
"[Charging_Facility__c]","a239Y0000000YhOQAU","NO5","6970631402006967","707057500029939610"
"[Charging_Facility__c]","a239Y0000000YhPQAU","NO5","6970631406498645","707057500029939283"
"[Charging_Facility__c]","a239Y0000000YhQQAU","NO1","5706567269908024","707057500080798898"
"[Charging_Facility__c]","a239Y0000000YhRQAU","NO1","5706567269908024","707057500080798898"
"[Charging_Facility__c]","a239Y0000000YhSQAU","NO1","5706567269908024","707057500080798898"
"[Charging_Facility__c]","a239Y0000000YhTQAU","NO1","5706567269905818","707057500080798881"
"[Charging_Facility__c]","a239Y0000000YhUQAU","NO1","5706567272286379","707057500080548936"
"[Charging_Facility__c]","a239Y0000000YhVQAU","NO3","6970631407519196","707057500069167974"
"[Charging_Facility__c]","a239Y0000000YhWQAU","NO1","7359992904982891","707057500057414707"
"[Charging_Facility__c]","a239Y0000000YhXQAU","NO1","7359992922767197","707057500057524383"
"[Charging_Facility__c]","a239Y0000000YhYQAU","NO1","5706567269903692","707057500080798874"
"[Charging_Facility__c]","a239Y0000000YhZQAU","NO1","5706567269903692","707057500080798874"
"[Charging_Facility__c]","a239Y0000000YhaQAE","NO3","6970631405225082","707057500069175061"
"[Charging_Facility__c]","a239Y0000000YhbQAE","NO3","6970631405225082","707057500069175061"
"[Charging_Facility__c]","a239Y0000000YhcQAE","NO3","6970631405469400","707057500069180485"
"[Charging_Facility__c]","a239Y0000000YhdQAE","NO3","6970631405225105","707057500069175054"
"[Charging_Facility__c]","a239Y0000000YheQAE","NO2","7359992923254078","707057500057575026"
"[Charging_Facility__c]","a239Y0000000YhfQAE","NO3","6970631405225099","707057500069175047"
"[Charging_Facility__c]","a239Y0000000YhgQAE","NO3","6970631405215397","707057500069175016"
"[Charging_Facility__c]","a239Y0000000YhhQAE","NO3","6970631408169284","707057500069185190"
"[Charging_Facility__c]","a239Y0000000YhiQAE","NO1","7359992921248345","707057500023350428"
"[Charging_Facility__c]","a239Y0000000YhjQAE","NO1","7359992909095626","707057500057546217"
"[Charging_Facility__c]","a239Y0000000YhkQAE","NO3","6970631409187096","707057500065620855"
"[Charging_Facility__c]","a239Y0000000YhlQAE","NO2","5706567335708145","707057500076527150"
"[Charging_Facility__c]","a239Y0000000YhmQAE","NO3","6970631408295921","707057500069170134"
"[Charging_Facility__c]","a239Y0000000YhnQAE","NO1","7359992908924514","707057500057359725"
"[Charging_Facility__c]","a239Y0000000YhoQAE","NO1","7359992908944826","707057500057387193"
"[Charging_Facility__c]","a239Y0000000YhpQAE","NO1","7359992908005961","707057500057514964"
"[Charging_Facility__c]","a239Y0000000YhqQAE","NO3","6970631407907023","707057500069257965"
"[Charging_Facility__c]","a239Y0000000YhrQAE","NO1","7359992908522444","707057500057374254"
"[Charging_Facility__c]","a239Y0000000YhsQAE","NO3","6970631407413197","707057500069312947"
"[Charging_Facility__c]","a239Y0000000YhtQAE","NO3","KLP","KLP"
"[Charging_Facility__c]","a239Y0000000YhuQAE","NO5","6970631407075234","707057500029944386"
