site_key,avg_three_highest_peaks
RD4P-9222,24.582181135813396
EVBT-A222,23.981307586034138
QK3N-8222,21.3767230330656
AFCT-A222,21.117475787798565
C34U-A222,19.186320622762043
ER2T-A222,18.18601703643799
GR3U-A222,11.917389114697775
QP2U-A222,11.22442396481832
